text,category,priority
No footpath for pedestrians on Ring Road,Transport,Medium
Traffic signals not working on Hospital Road,Transport,High
Medical equipment not working in Ward 12 hospital,Healthcare,High
E-rickshaw causing traffic jam in Town Area,Transport,Medium
Scholarship money not distributed in Sector 5,Education,Medium
Road cave-in near Zone 4 drainage line,Road,Critical
Bus not stopping at Block 3 stop,Transport,Medium
High voltage wire hanging low on Market Street,Electricity,Medium
Underground water leakage on Hospital Road,Water,Critical
Bus not stopping at Town Area stop,Transport,Medium
Security cameras not working in Sector 5 market,Safety,High
Long queues at Town Area government dispensary,Healthcare,High
No maintenance of Zone 4 garden since 5 days,Parks,Medium
Park benches broken and unusable in Mohalla 7,Parks,Medium
Illegal weapons spotted near Mohalla 7,Safety,High
Street flooding on Hospital Road during monsoon,Road,Critical
Hospital building in bad condition in Mohalla 7,Healthcare,High
Potholes causing vehicle damage on Old Delhi Road,Road,High
No road markings visible at night on Hospital Road,Road,Medium
Anganwadi center closed for 14 days in Puram Extension,Education,Low
Unmarked speed breaker causing accidents on MG Road,Road,Low
Illegal parking blocking MG Road in Mohalla 7,Transport,Medium
Unsafe scaffolding near Temple Road,Construction,High
Dirty conditions in Ward 12 government hospital,Healthcare,Medium
Road encroachment by shops on Ring Road,Road,Medium
School building in bad condition in Zone 4,Education,Low
Medical equipment not working in Puram Extension hospital,Healthcare,Medium
Footpath broken and dangerous for walkers near Nagar Panchayat,Road,Medium
Bins not emptied since last week in Puram Extension,Sanitation,High
Footpath broken and dangerous for walkers near Town Area,Road,Low
Road encroachment by shops on Hospital Road,Road,Critical
School missing benches for students in Village Kalan,Education,High
Construction dust affecting Nagar Panchayat residents,Construction,Medium
Electric poles damaged after storm near Block 3,Electricity,High
Road dividers removed illegally on NH-8,Transport,Low
No doctors available at PHC in Mohalla 7 for 2 days,Healthcare,Critical
Blood bank not available in Block 3 hospital,Healthcare,High
Anganwadi center closed for 30 days in Ward 12,Education,High
Traffic signals not working on Main Bazaar,Transport,Medium
School missing benches for students in Town Area,Education,Medium
Theft incidents increasing in Puram Extension locality,Safety,Critical
Leaking water pipe wasting water on Market Street,Water,High
Trees fallen in Ward 12 park after storm,Parks,Low
Dead animals not removed from Temple Road,Sanitation,High
Bins not emptied since last week in Zone 4,Sanitation,Medium
Dead animals not removed from Main Bazaar,Sanitation,High
Dirty brown water coming from tap in Colony B,Water,High
Construction dust affecting Town Area residents,Construction,Low
No road markings visible at night on Main Bazaar,Road,High
Street flooding on Ring Road during monsoon,Road,Critical
Water tank overflow flooding Station Road,Water,Medium
Rowdy elements troubling residents of Puram Extension,Safety,High
Water pipe burst on Market Street flooding the street,Water,Medium
No water pressure in building in Block 3,Water,High
Gambling den operating in Village Kalan,Safety,Medium
Ambulance service not responding in Village Kalan,Healthcare,Critical
Construction dust affecting Nagar Panchayat residents,Construction,High
No maintenance of Sector 5 garden since 14 days,Parks,Low
CCTV cameras vandalized near Mohalla 7,Safety,Medium
Encroachment in Zone 4 public park area,Parks,Medium
Chain snatching incidents in Sector 5 area,Safety,High
No water pressure in building in Mohalla 7,Water,High
Gambling den operating in Mohalla 7,Safety,Critical
Theft incidents increasing in Ward 12 locality,Safety,Critical
Bridge has cracks need urgent repair on Main Bazaar,Road,Critical
Construction work damaging water pipeline in Colony B,Construction,High
Road cave-in near Zone 4 drainage line,Road,Critical
E-rickshaw causing traffic jam in Block 3,Transport,Low
Illegal construction blocking Hospital Road in Village Kalan,Construction,Low
Garbage burning near Ward 12 school,Sanitation,Medium
No sports facilities in Sector 5 school,Education,High
Illegal parking blocking Old Delhi Road in Colony B,Transport,Low
Park benches broken and unusable in Village Kalan,Parks,Low
Bus routes reduced suddenly in Colony B,Transport,High
Hospital ward overcrowded in Village Kalan,Healthcare,Critical
Water pipe burst on Hospital Road flooding the street,Water,High
Bus service not available to Sector 5 village,Transport,Medium
Park benches broken and unusable in Block 3,Parks,Low
Road waterlogged after rain near Block 3,Road,Critical
Hospital ward overcrowded in Colony B,Healthcare,Critical
No dustbin provided in Puram Extension market,Sanitation,Medium
High voltage wire hanging low on Main Bazaar,Electricity,Low
Construction affecting water supply in Block 3,Construction,Low
Park benches broken and unusable in Village Kalan,Parks,Low
Unauthorized commercial construction in Village Kalan,Construction,Medium
Hospital building in bad condition in Ward 12,Healthcare,Critical
Untrained teachers in Town Area primary school,Education,Low
Electric box sparking near Block 3 school,Electricity,High
Security cameras not working in Ward 12 market,Safety,Critical
School building in bad condition in Village Kalan,Education,Low
Vaccination camp not organized in Nagar Panchayat,Healthcare,Critical
Sewage mixing with drinking water in Zone 4,Water,High
Encroachment in Mohalla 7 public park area,Parks,Low
Garden lights not working in Sector 5 park,Parks,Low
Illegal electrical connections spotted in Zone 4,Electricity,Medium
Library books damaged in Nagar Panchayat school,Education,High
Health worker absent from Village Kalan since 10 days,Healthcare,Critical
Construction dust affecting Block 3 residents,Construction,High
Rubble dumped on Hospital Road by contractor,Construction,Low
No ASHA worker in Block 3 area since 30 days,Healthcare,Medium
Sewage smell unbearable near Village Kalan,Sanitation,Medium
Waste collection vehicle not coming to Town Area,Sanitation,Medium
Underground water leakage on School Lane,Water,Critical
Transformer blew up near Sector 5 market,Electricity,Low
Dirty conditions in Sector 5 government hospital,Healthcare,High
No drinking water in Ward 12 park,Parks,Low
Ambulance service not responding in Sector 5,Healthcare,Medium
Sewage overflow on NH-8 street near Sector 5,Sanitation,Medium
Road waterlogged after rain near Mohalla 7,Road,Critical
Water tanker not arriving on schedule in Village Kalan,Water,Critical
Street lights not working on NH-8 since 21 days,Electricity,High
Open defecation area near Village Kalan school,Sanitation,High
Bus not stopping at Ward 12 stop,Transport,Low
Bus routes reduced suddenly in Puram Extension,Transport,High
Drug dealing happening in Village Kalan park,Safety,Critical
Building under construction without permit in Sector 5,Construction,Medium
Construction affecting water supply in Zone 4,Construction,Medium
No road markings visible at night on Hospital Road,Road,Medium
Lights flickering in Mohalla 7 residential area,Electricity,Medium
CCTV cameras vandalized near Ward 12,Safety,Critical
Street lights not working on MG Road since 3 days,Electricity,Low
No footpath for pedestrians on Main Bazaar,Transport,Low
Government hospital lacks medicines in Puram Extension,Healthcare,Critical
Street lamp broken near bus stop on Hospital Road,Electricity,Low
Electric meter not working properly in Zone 4,Electricity,High
CCTV cameras not working on MG Road,Transport,High
Encroachment in Sector 5 public park area,Parks,Low
No security guard in Mohalla 7 park,Parks,Low
Street harassment near Block 3 school daily,Safety,High
Auto drivers overcharging passengers in Ward 12,Transport,Low
Women safety issues at Block 3 bus stop,Safety,Medium
No parking facility near Village Kalan market,Transport,Medium
Chain snatching incidents in Puram Extension area,Safety,High
Drug dealing happening in Colony B park,Safety,Critical
Government hospital lacks medicines in Nagar Panchayat,Healthcare,High
No doctors available at PHC in Puram Extension for 3 days,Healthcare,High
Electric box sparking near Zone 4 school,Electricity,High
Leaking water pipe wasting water on Ring Road,Water,Critical
Water pipe burst on Station Road flooding the street,Water,High
Street flooding on NH-8 during monsoon,Road,Critical
Park fountains not working in Mohalla 7,Parks,Low
School missing benches for students in Puram Extension,Education,Medium
Night watchman absent from Zone 4,Safety,High
Electric box sparking near Sector 5 school,Electricity,Low
Building under construction without permit in Sector 5,Construction,High
Illegal weapons spotted near Village Kalan,Safety,Critical
Leaking water pipe wasting water on Main Bazaar,Water,High
Contaminated water supply causing illness in Village Kalan,Water,Critical
Police not patrolling Nagar Panchayat area since 10 days,Safety,High
Unsafe scaffolding near Old Delhi Road,Construction,Low
Potholes causing vehicle damage on School Lane,Road,Medium
Street flooding on Old Delhi Road during monsoon,Road,Medium
Scholarship money not distributed in Puram Extension,Education,High
No power supply during festival in Village Kalan,Electricity,High
High voltage wire hanging low on NH-8,Electricity,High
Footpath broken and dangerous for walkers near Mohalla 7,Road,Medium
Bus not stopping at Nagar Panchayat stop,Transport,Low
Scholarship money not distributed in Mohalla 7,Education,High
Gambling den operating in Ward 12,Safety,Medium
Hospital ward overcrowded in Village Kalan,Healthcare,High
Power outage in Puram Extension colony since morning,Electricity,Low
No dustbin provided in Nagar Panchayat market,Sanitation,Critical
Chain snatching incidents in Puram Extension area,Safety,Critical
Leaking water pipe wasting water on Market Street,Water,Critical
Road waterlogged after rain near Ward 12,Road,High
No footpath for pedestrians on Ring Road,Transport,Low
Long queues at Town Area government dispensary,Healthcare,Critical
Waste collection vehicle not coming to Sector 5,Sanitation,Medium
No toilets in Nagar Panchayat government school,Education,High
High voltage wire hanging low on Temple Road,Electricity,Low
Bins not emptied since last week in Village Kalan,Sanitation,Medium
No ASHA worker in Sector 5 area since 3 days,Healthcare,Critical
Ambulance service not responding in Nagar Panchayat,Healthcare,Critical
Untrained teachers in Block 3 primary school,Education,Low
No bus shelter at Village Kalan bus stop,Transport,Low
Hospital building in bad condition in Village Kalan,Healthcare,Medium
Illegal construction blocking NH-8 in Nagar Panchayat,Construction,Low
