feedback_text,sentiment,rating,category,ward
"Complaint registered, under review by department",NEUTRAL,3,Electricity,Ward 6
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Public Safety,Ward 26
New project for park development announced for our ward,NEUTRAL,3,Electricity,Ward 50
Road dug up for pipeline but not restored for months,NEGATIVE,1,Education,Ward 3
"Bus frequency has increased, commuting is easier",POSITIVE,4,Public Safety,Ward 38
"Water quality has improved, no more complaints from residents",POSITIVE,5,Electricity,Ward 24
Water pipeline replacement work in progress,NEUTRAL,3,Water,Ward 23
"Electricity outages have reduced significantly, great work",POSITIVE,5,Healthcare,Ward 26
"Water quality has improved, no more complaints from residents",POSITIVE,4,Sanitation,Ward 15
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Sanitation,Ward 8
"Construction noise at midnight, residents suffering",NEGATIVE,2,Electricity,Ward 33
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Sanitation,Ward 37
Project started but no updates for 6 months,NEGATIVE,2,Electricity,Ward 19
"Complaint registered, under review by department",NEUTRAL,3,Sanitation,Ward 43
Hospital renovation work started last month,NEUTRAL,3,Public Safety,Ward 18
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Transport,Ward 32
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Roads,Ward 11
Garbage collection timings have been changed to morning,NEUTRAL,3,Transport,Ward 27
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Public Safety,Ward 21
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Education,Ward 24
Road widening project expected to complete next month,NEUTRAL,3,Construction,Ward 29
"Park renovation looks beautiful, children love it",POSITIVE,4,Sanitation,Ward 4
"Water supply erratic, pressure very low",NEGATIVE,1,Public Safety,Ward 9
Road widening project completed ahead of schedule,POSITIVE,4,Transport,Ward 49
Project completion date extended by two months,NEUTRAL,3,Education,Ward 41
"Park facilities broken, children getting hurt",NEGATIVE,1,Construction,Ward 38
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Healthcare,Ward 17
"Electricity outages have reduced significantly, great work",POSITIVE,5,Education,Ward 9
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Roads,Ward 14
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Roads,Ward 28
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Electricity,Ward 12
Garbage collection timings have been changed to morning,NEUTRAL,3,Sanitation,Ward 18
Road marking work will start after monsoon,NEUTRAL,3,Construction,Ward 44
Authorities not responding to any complaints,NEGATIVE,2,Transport,Ward 6
New traffic signals have reduced accidents in our area,POSITIVE,4,Public Safety,Ward 49
Solar street lights are a wonderful initiative,POSITIVE,5,Education,Ward 33
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Water,Ward 3
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Transport,Ward 44
Project completion date extended by two months,NEUTRAL,3,Roads,Ward 45
Happy with the prompt response from civic authorities,POSITIVE,5,Parks,Ward 48
Electricity department working on transformer upgrade,NEUTRAL,3,Public Safety,Ward 27
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Public Safety,Ward 24
"Water supply erratic, pressure very low",NEGATIVE,2,Transport,Ward 49
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Public Safety,Ward 9
Project started but no updates for 6 months,NEGATIVE,1,Parks,Ward 26
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Sanitation,Ward 37
Happy with the prompt response from civic authorities,POSITIVE,5,Electricity,Ward 17
"Contractor used substandard materials, work failing",NEGATIVE,1,Parks,Ward 34
"Park renovation looks beautiful, children love it",POSITIVE,4,Electricity,Ward 29
Street light maintenance scheduled for this weekend,NEUTRAL,3,Healthcare,Ward 11
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Parks,Ward 36
Public toilets are now clean and well maintained,POSITIVE,5,Healthcare,Ward 45
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Education,Ward 6
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Parks,Ward 34
"Garbage not collected for a week, health hazard",NEGATIVE,2,Electricity,Ward 11
"Water supply erratic, pressure very low",NEGATIVE,2,Public Safety,Ward 42
"The road repair was completed on time, very happy with the work",POSITIVE,5,Construction,Ward 15
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Roads,Ward 11
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Education,Ward 29
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Education,Ward 45
"Water supply erratic, pressure very low",NEGATIVE,2,Education,Ward 41
New contractor assigned for road repair work,NEUTRAL,3,Healthcare,Ward 16
The contractor did excellent work on the drainage project,POSITIVE,4,Parks,Ward 16
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Parks,Ward 22
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Transport,Ward 11
Street light maintenance scheduled for this weekend,NEUTRAL,3,Water,Ward 2
"Park facilities broken, children getting hurt",NEGATIVE,2,Construction,Ward 42
Water pipeline replacement work in progress,NEUTRAL,3,Healthcare,Ward 44
Public toilets are now clean and well maintained,POSITIVE,5,Education,Ward 30
Project completion date extended by two months,NEUTRAL,3,Public Safety,Ward 12
Authorities not responding to any complaints,NEGATIVE,1,Construction,Ward 39
"Road marking done properly, reduces accidents at night",POSITIVE,5,Transport,Ward 28
New contractor assigned for road repair work,NEUTRAL,3,Sanitation,Ward 46
"Park renovation looks beautiful, children love it",POSITIVE,5,Water,Ward 15
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Sanitation,Ward 2
"Water supply erratic, pressure very low",NEGATIVE,2,Public Safety,Ward 19
Traffic signal upgrade project is under review,NEUTRAL,3,Construction,Ward 12
"Electricity outages have reduced significantly, great work",POSITIVE,4,Roads,Ward 17
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Construction,Ward 38
Street light maintenance scheduled for this weekend,NEUTRAL,3,Public Safety,Ward 8
New hospital wing is a great addition to our area,POSITIVE,4,Parks,Ward 45
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Parks,Ward 1
Road dug up for pipeline but not restored for months,NEGATIVE,2,Public Safety,Ward 19
"Construction noise at midnight, residents suffering",NEGATIVE,2,Electricity,Ward 50
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Transport,Ward 23
Project started but no updates for 6 months,NEGATIVE,1,Construction,Ward 37
New contractor assigned for road repair work,NEUTRAL,3,Water,Ward 1
Electricity cut for 3 days without any information,NEGATIVE,2,Sanitation,Ward 46
Electricity department working on transformer upgrade,NEUTRAL,3,Construction,Ward 45
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Education,Ward 16
Environmental clearance received for park project,NEUTRAL,3,Public Safety,Ward 30
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Healthcare,Ward 2
"Complained 10 times about potholes, zero response",NEGATIVE,2,Roads,Ward 12
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Public Safety,Ward 34
Electricity department working on transformer upgrade,NEUTRAL,3,Transport,Ward 27
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Public Safety,Ward 50
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Public Safety,Ward 30
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Healthcare,Ward 40
Electricity cut for 3 days without any information,NEGATIVE,1,Education,Ward 35
"Park renovation looks beautiful, children love it",POSITIVE,5,Electricity,Ward 5
Road dug up for pipeline but not restored for months,NEGATIVE,1,Construction,Ward 17
Traffic signal upgrade project is under review,NEUTRAL,3,Water,Ward 12
Road marking work will start after monsoon,NEUTRAL,3,Transport,Ward 42
New traffic signals have reduced accidents in our area,POSITIVE,4,Electricity,Ward 42
"Electricity outages have reduced significantly, great work",POSITIVE,5,Construction,Ward 26
Survey completed for new drainage line,NEUTRAL,3,Healthcare,Ward 15
Garbage collection timings have been changed to morning,NEUTRAL,3,Healthcare,Ward 25
Project started but no updates for 6 months,NEGATIVE,1,Public Safety,Ward 7
Committee formed to review delayed projects,NEUTRAL,3,Roads,Ward 2
New contractor assigned for road repair work,NEUTRAL,3,Education,Ward 47
Authorities not responding to any complaints,NEGATIVE,2,Water,Ward 6
Solar street lights are a wonderful initiative,POSITIVE,5,Roads,Ward 8
New project for park development announced for our ward,NEUTRAL,3,Public Safety,Ward 43
Bridge inspection scheduled for next week,NEUTRAL,3,Electricity,Ward 5
"Park renovation looks beautiful, children love it",POSITIVE,5,Water,Ward 50
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Roads,Ward 22
Environmental clearance received for park project,NEUTRAL,3,Roads,Ward 47
"Complaint registered, under review by department",NEUTRAL,3,Construction,Ward 42
"Park facilities broken, children getting hurt",NEGATIVE,2,Transport,Ward 3
"Contractor used substandard materials, work failing",NEGATIVE,2,Education,Ward 8
Happy with the prompt response from civic authorities,POSITIVE,5,Roads,Ward 15
Street light maintenance scheduled for this weekend,NEUTRAL,3,Parks,Ward 13
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Electricity,Ward 26
New traffic signals have reduced accidents in our area,POSITIVE,5,Construction,Ward 45
Road dug up for pipeline but not restored for months,NEGATIVE,2,Roads,Ward 1
"The road repair was completed on time, very happy with the work",POSITIVE,4,Construction,Ward 10
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Healthcare,Ward 32
Solar street lights are a wonderful initiative,POSITIVE,4,Education,Ward 39
Work order issued for pothole repair,NEUTRAL,3,Construction,Ward 13
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Healthcare,Ward 42
"Complaint registered, under review by department",NEUTRAL,3,Transport,Ward 30
Project started but no updates for 6 months,NEGATIVE,2,Roads,Ward 47
"Water supply erratic, pressure very low",NEGATIVE,1,Water,Ward 16
Public toilet construction tender has been floated,NEUTRAL,3,Healthcare,Ward 10
New traffic signals have reduced accidents in our area,POSITIVE,4,Transport,Ward 12
Bridge inspection scheduled for next week,NEUTRAL,3,Public Safety,Ward 12
"Complaint registered, under review by department",NEUTRAL,3,Construction,Ward 13
Drainage cleaning drive happening next week,NEUTRAL,3,Parks,Ward 11
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Healthcare,Ward 1
Traffic signal upgrade project is under review,NEUTRAL,3,Parks,Ward 7
"Garbage not collected for a week, health hazard",NEGATIVE,1,Roads,Ward 1
Road marking work will start after monsoon,NEUTRAL,3,Electricity,Ward 10
Authorities not responding to any complaints,NEGATIVE,2,Electricity,Ward 50
The bridge repair was done with high quality materials,POSITIVE,5,Parks,Ward 12
Construction of new school building underway,NEUTRAL,3,Electricity,Ward 37
Solar street lights are a wonderful initiative,POSITIVE,4,Construction,Ward 28
New project for park development announced for our ward,NEUTRAL,3,Electricity,Ward 41
Authorities not responding to any complaints,NEGATIVE,2,Public Safety,Ward 36
"Complaint registered, under review by department",NEUTRAL,3,Public Safety,Ward 2
New contractor assigned for road repair work,NEUTRAL,3,Construction,Ward 7
"Bus frequency has increased, commuting is easier",POSITIVE,4,Public Safety,Ward 19
The sanitation team is doing a commendable job,POSITIVE,5,Parks,Ward 45
"Water quality has improved, no more complaints from residents",POSITIVE,5,Roads,Ward 14
Bridge inspection scheduled for next week,NEUTRAL,3,Sanitation,Ward 33
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Education,Ward 3
Road marking work will start after monsoon,NEUTRAL,3,Electricity,Ward 33
"Bus frequency has increased, commuting is easier",POSITIVE,5,Parks,Ward 39
Solar street lights are a wonderful initiative,POSITIVE,5,Public Safety,Ward 32
New traffic signals have reduced accidents in our area,POSITIVE,4,Sanitation,Ward 14
New project for park development announced for our ward,NEUTRAL,3,Parks,Ward 50
Road widening project completed ahead of schedule,POSITIVE,5,Water,Ward 37
"Park facilities broken, children getting hurt",NEGATIVE,2,Construction,Ward 13
Project started but no updates for 6 months,NEGATIVE,1,Sanitation,Ward 21
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Electricity,Ward 45
New traffic signals have reduced accidents in our area,POSITIVE,4,Electricity,Ward 45
Happy with the prompt response from civic authorities,POSITIVE,5,Transport,Ward 6
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Construction,Ward 39
Water pipeline replacement work in progress,NEUTRAL,3,Public Safety,Ward 49
"Bus frequency has increased, commuting is easier",POSITIVE,4,Sanitation,Ward 9
"Road marking done properly, reduces accidents at night",POSITIVE,4,Healthcare,Ward 3
Happy with the prompt response from civic authorities,POSITIVE,5,Transport,Ward 33
Happy with the prompt response from civic authorities,POSITIVE,4,Parks,Ward 27
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Construction,Ward 8
Drainage cleaning drive happening next week,NEUTRAL,3,Parks,Ward 21
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Public Safety,Ward 47
New contractor assigned for road repair work,NEUTRAL,3,Transport,Ward 11
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Parks,Ward 44
Road repair work is ongoing in our sector,NEUTRAL,3,Parks,Ward 8
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Construction,Ward 7
Construction of new school building underway,NEUTRAL,3,Education,Ward 25
